train_number,n_stops,total_distance_km,avg_km_per_stop,n_skip_segments,stations_skipped
38457,24,66.1,2.9,0,0
38453,24,66.1,2.9,0,0
38445,24,66.1,2.9,0,0
38417,24,66.1,2.9,0,0
38439,24,66.1,2.9,0,0
38435,24,66.1,2.9,0,0
38441,24,66.1,2.9,0,0
38449,24,66.1,2.9,0,0
38423,24,66.1,2.9,0,0
38433,24,66.1,2.9,0,0
58151,10,66.0,7.3,0,0
56013,12,66.0,6.0,0,0
56009,12,66.0,6.0,0,0
50108,8,66.0,9.4,0,0
55609,8,65.9,9.4,0,0
52918,12,65.9,6.0,0,0
52916,12,65.9,6.0,0,0
54261,13,65.5,5.5,0,0
04741,7,65.4,10.9,0,0
56222,13,65.2,5.4,0,0
56226,13,65.2,5.4,0,0
55305,13,65.0,5.4,0,0
54793,11,64.9,6.5,0,0
14323,17,64.6,4.0,0,0
57485,22,64.6,3.1,0,0
52232,11,64.6,6.5,0,0
54238,6,64.4,12.9,0,0
58656,9,64.2,8.0,0,0
58654,9,64.2,8.0,0,0
58652,9,64.2,8.0,0,0
58658,9,64.2,8.0,0,0
58712,10,64.1,7.1,0,0
53448,11,64.1,6.4,0,0
58714,10,64.1,7.1,0,0
53450,11,64.1,6.4,0,0
58716,10,64.1,7.1,0,0
53449,11,64.0,6.4,0,0
53447,11,64.0,6.4,0,0
51903,17,63.9,4.0,0,0
53553,8,63.8,9.1,0,0
51325,11,63.8,6.4,0,0
16521,10,63.8,7.1,0,0
51353,11,63.8,6.4,0,0
55309,11,63.2,6.3,0,0
56315,13,63.2,5.3,0,0
55321,11,63.2,6.3,0,0
56311,13,63.2,5.3,0,0
56313,13,63.2,5.3,0,0
56211,13,63.0,5.3,0,0
56201,13,63.0,5.3,0,0
56203,13,63.0,5.3,0,0
56209,13,63.0,5.3,0,0
58858,8,62.7,9.0,0,0
58874,8,62.7,9.0,0,0
56221,13,62.6,5.2,0,0
56225,13,62.6,5.2,0,0
38443,23,62.5,2.8,0,0
53554,7,62.2,10.4,0,0
53552,7,62.2,10.4,0,0
55511,13,62.0,5.2,0,0
56312,9,62.0,7.8,0,0
54576,14,62.0,4.8,0,0
05698,10,62.0,6.9,0,0
18616,9,61.8,7.7,0,0
54332,9,61.7,7.7,0,0
63548,9,61.6,7.7,0,0
58711,10,61.5,6.8,0,0
58713,10,61.5,6.8,0,0
58715,10,61.5,6.8,0,0
52462,16,61.2,4.1,0,0
57605,18,60.9,3.6,0,0
52226,10,60.8,6.8,0,0
52221,11,60.1,6.0,0,0
52223,11,60.1,6.0,0,0
54331,9,59.8,7.5,0,0
56010,12,59.7,5.4,0,0
56310,13,59.7,5.0,0,0
55518,9,59.7,7.5,0,0
55520,9,59.7,7.5,0,0
56316,13,59.7,5.0,0,0
56014,12,59.7,5.4,0,0
52024,3,59.1,29.6,0,0
55610,7,58.8,9.8,0,0
56309,17,58.6,3.7,0,0
52179,8,58.6,8.4,0,0
59104,10,58.6,6.5,0,0
59102,10,58.6,6.5,0,0
56307,17,58.6,3.7,0,0
56707,9,58.5,7.3,0,0
56709,9,58.5,7.3,0,0
56620,11,58.4,5.8,0,0
56612,11,58.4,5.8,0,0
06837,8,58.4,8.3,0,0
56614,11,58.4,5.8,0,0
56618,11,58.4,5.8,0,0
56616,11,58.4,5.8,0,0
55517,13,58.1,4.8,0,0
58657,9,58.0,7.2,0,0
58655,9,58.0,7.2,0,0
58651,9,58.0,7.2,0,0
55748,8,57.9,8.3,0,0
18602,8,57.9,8.3,0,0
56240,7,57.7,9.6,0,0
56917,7,57.7,9.6,0,0
56272,7,57.7,9.6,0,0
57280,13,57.7,4.8,0,0
54244,4,57.6,19.2,0,0
54240,4,57.6,19.2,0,0
40516,28,57.5,2.1,0,0
40524,28,57.5,2.1,0,0
40520,28,57.5,2.1,0,0
40526,28,57.5,2.1,0,0
40514,28,57.5,2.1,0,0
40518,28,57.5,2.1,0,0
58873,8,57.5,8.2,0,0
40522,28,57.5,2.1,0,0
54321,11,57.5,5.8,0,0
56308,17,57.3,3.6,0,0
55307,7,57.1,9.5,0,0
58610,8,57.1,8.2,0,0
55323,5,57.1,14.3,0,0
55310,7,57.0,9.5,0,0
55324,5,57.0,14.3,0,0
34858,24,56.8,2.5,0,0
59379,7,56.8,9.5,0,0
52222,8,56.7,8.1,0,0
34857,24,56.7,2.5,0,0
54468,6,56.6,11.3,0,0
13251,8,56.6,8.1,0,0
54470,6,56.6,11.3,0,0
54322,12,56.5,5.1,0,0
56828,10,56.3,6.3,0,0
56526,12,56.2,5.1,0,0
52983,11,56.2,5.6,0,0
06594,9,56.1,7.0,0,0
09764,7,56.1,9.3,0,0
06592,9,56.1,7.0,0,0
16522,10,56.0,6.2,0,0
56005,11,55.9,5.6,0,0
56003,11,55.9,5.6,0,0
56708,9,55.8,7.0,0,0
64491,11,55.8,5.6,0,0
56710,9,55.8,7.0,0,0
56004,11,55.6,5.6,0,0
56006,11,55.6,5.6,0,0
56212,13,55.5,4.6,0,0
56202,13,55.5,4.6,0,0
56204,13,55.5,4.6,0,0
56210,13,55.5,4.6,0,0
59032,11,55.4,5.5,0,0
06838,8,55.3,7.9,0,0
53430,12,55.3,5.0,0,0
55512,13,55.1,4.6,0,0
54532,7,55.1,9.2,0,0
52071,2,55.1,55.1,0,0
52298,8,55.0,7.9,0,0
52236,10,55.0,6.1,0,0
53551,7,54.8,9.1,0,0
59044,8,54.7,7.8,0,0
40555,28,54.5,2.0,0,0
40601,28,54.5,2.0,0,0
40505,28,54.5,2.0,0,0
40513,28,54.5,2.0,0,0
40507,28,54.5,2.0,0,0
40521,28,54.5,2.0,0,0
40509,28,54.5,2.0,0,0
56007,10,54.5,6.1,0,0
40517,28,54.5,2.0,0,0
40515,28,54.5,2.0,0,0
40519,28,54.5,2.0,0,0
40503,28,54.5,2.0,0,0
40511,28,54.5,2.0,0,0
40501,28,54.5,2.0,0,0
52216,9,54.4,6.8,0,0
59510,8,54.3,7.8,0,0
59512,7,54.3,9.1,0,0
53328,10,54.2,6.0,0,0
37355,20,54.0,2.8,0,0
56766,11,53.8,5.4,0,0
56762,11,53.8,5.4,0,0
56764,11,53.8,5.4,0,0
57422,8,53.6,7.7,0,0
59122,11,53.2,5.3,0,0
56525,12,53.2,4.8,0,0
52555,6,52.7,10.5,0,0
55519,9,52.7,6.6,0,0
52553,6,52.7,10.5,0,0
56008,10,52.7,5.9,0,0
52551,6,52.7,10.5,0,0
53322,12,52.6,4.8,0,0
