station_a,name_a,state_a,station_b,name_b,state_b,num_trains,distance_km
NLH,NAULTHA,Haryana,GHNA,GOHANA,Haryana,5,27.8
IRA,ISRANA,Haryana,DHRN,DHURANA,Haryana,6,6.4
DHRN,DHURANA,Haryana,MDLA,MUNDLANA,Haryana,5,6.4
DHRN,DHURANA,Haryana,GHNA,GOHANA,Haryana,1,16.8
MDLA,MUNDLANA,Haryana,GHNA,GOHANA,Haryana,5,10.4
GHNA,GOHANA,Haryana,BASN,BHAINSWAN,Haryana,5,5.2
GHNA,GOHANA,Haryana,ROK,ROHTAK JN,Haryana,5,29.7
GHNA,GOHANA,Haryana,RKX,RUKHI,Haryana,1,5.7
BASN,BHAINSWAN,Haryana,RKX,RUKHI,Haryana,5,0.5
RKX,RUKHI,Haryana,JSS,JASIA,Haryana,6,9.8
JSS,JASIA,Haryana,MKLI,MAKRAULI,Haryana,6,6.9
MKLI,MAKRAULI,Haryana,ROK,ROHTAK JN,Haryana,3,7.8
TMS,Tumsar Town,Maharashtra,GBRI,Gobarwahi,Maharashtra,4,14.7
GBRI,Gobarwahi,Maharashtra,DGBZ,Dongri Buzurg,Maharashtra,4,8.1
DGBZ,Dongri Buzurg,Maharashtra,TRDI,Tirodi,Madhya Pradesh,2,13.6
PRBZ,Parsa Bazar,Bihar,PPN,Punpun,Bihar,33,7.2
PRBZ,Parsa Bazar,Bihar,RSMN,Ramgovindsingh Mahuli Halt,,3,2.1
PPN,Punpun,Bihar,PFT,Pothahi,Bihar,33,0.2
PPN,Punpun,Bihar,PNUG,Punpun Ghat Halt,,3,4.3
PPN,Punpun,Bihar,JTDM,Jatdumri Halt,,3,1.6
PFT,Pothahi,Bihar,NDW,Nadwan,Bihar,33,10.5
PFT,Pothahi,Bihar,JTDM,Jatdumri Halt,,3,1.4
PFT,Pothahi,Bihar,NEMA,Nema Halt,Bihar,3,9.0
NDW,Nadwan,Bihar,TEA,Taregna,Bihar,33,5.4
NDW,Nadwan,Bihar,NEMA,Nema Halt,Bihar,3,1.6
NDW,Nadwan,Bihar,MDCR,Masaudhi Court Halt,Bihar,3,4.0
TEA,Taregna,Bihar,NDU,Nadauj,Bihar,33,6.9
TEA,Taregna,Bihar,MDCR,Masaudhi Court Halt,Bihar,3,1.4
TEA,Taregna,Bihar,CKMI,Chhotaki Masaudhi Halt,,2,2.8
